id,title,empesa,local,salario,tipo,descricao,links
24,People Analytics RH - PCD,MANPOWER STAFFING. (Matriz),Todo Brasil,Salário a combinar,Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Mestre \n• Formação: Mestrado\n• Cursos: Engenharias, Matemática, Ciências da Computação, Computação Aplicada, Sistemas de Informação\n• Idiomas: Inglês\n\nAtividades:\n• Coleta de Dados, \n• Processamento e Normalização dos Dados, \n• Desenvolvimento da Plataforma\n• Indicadores de Gestão\n\n\nConhecimentos Necessários:\n• Conhecimentos em Cloud (desenvolvimento de aplicação 3-tier em ambiente de Cloud)\n• Inteligência Artificial (Machine Learning e Deep Learning)\n• Desenvolvimento de aplicações em Python ou Go Lang. \n• Práticas DevOps (mandatório)/ DevSecOps (diferencial) / SRE (diferencial).\n\nConhecimentos Desejáveis:\n• Estratégia de observabilidade e FinOps\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12 meses;\n• Bolsa Auxílio: R$ 9.000,00;\n• Atuação: Home Office;\n• Local de empresa: Bairro do Jabaquara, São Paulo.\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n\n(1103711221)\nNúmero de vagas: 4\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Trainee em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-people-analytics-rh-pcd-em-__10772816.aspx', 'empresa': 'https://www.infojobs.com.br/manpower-staffing-ltda'}"
25,"Bolsista Doutor [Engenharia De Computação, Ciência Da Comp., Análise E Desenv. De Sistemas] CIELO",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Mestre \n• Formação: Mestrado\n• Cursos: Engenharias, Matemática, Ciências da Computação, Computação Aplicada, Sistemas de Informação\n• Idiomas: Inglês\n\nAtividades:\n• Coleta de Dados, \n• Processamento e Normalização dos Dados, \n• Desenvolvimento da Plataforma\n• Indicadores de Gestão\n\n\nConhecimentos Necessários:\n• Conhecimentos em Cloud (desenvolvimento de aplicação 3-tier em ambiente de Cloud)\n• Inteligência Artificial (Machine Learning e Deep Learning)\n• Desenvolvimento de aplicações em Python ou Go Lang. \n• Práticas DevOps (mandatório)/ DevSecOps (diferencial) / SRE (diferencial).\n\nConhecimentos Desejáveis:\n• Estratégia de observabilidade e FinOps\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12 meses;\n• Bolsa Auxílio: R$ 9.000,00;\n• Atuação: Home Office;\n• Local de empresa: Bairro do Jabaquara, São Paulo.\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n\n(1103711221)\nNúmero de vagas: 4\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Trainee em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-doutor-engenharia-computacao,-ciencia-da-em-__10765458.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
26,"Bolsista Doutor [Engenharia, Matemática, Ciências Da Computação, Estatística] ICT ITAÚ",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Mestre \n• Formação: Mestrado\n• Cursos: Engenharias, Matemática, Ciências da Computação, Computação Aplicada, Sistemas de Informação\n• Idiomas: Inglês\n\nAtividades:\n• Coleta de Dados, \n• Processamento e Normalização dos Dados, \n• Desenvolvimento da Plataforma\n• Indicadores de Gestão\n\n\nConhecimentos Necessários:\n• Conhecimentos em Cloud (desenvolvimento de aplicação 3-tier em ambiente de Cloud)\n• Inteligência Artificial (Machine Learning e Deep Learning)\n• Desenvolvimento de aplicações em Python ou Go Lang. \n• Práticas DevOps (mandatório)/ DevSecOps (diferencial) / SRE (diferencial).\n\nConhecimentos Desejáveis:\n• Estratégia de observabilidade e FinOps\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12 meses;\n• Bolsa Auxílio: R$ 9.000,00;\n• Atuação: Home Office;\n• Local de empresa: Bairro do Jabaquara, São Paulo.\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n\n(1103711221)\nNúmero de vagas: 4\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Trainee em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-doutor-engenharia,-matematica,-ciencias-em-__10751378.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
27,"Bolsista Mestre [Física, Matemática, Ciência Da Computação, Engenharia Da Computação] ICT ITAÚ",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Mestre- TECH 3 \n• Formação: Mestrado\n• Cursos: Ciência da Computação, Estatística, Matemática Aplicada, Engenharia em geral ou áreas correlatas.\n\nAtividades:\n• Revisão bibliográfica\n• Estruturação de um desenho de pesquisa;\n• Programação e modelagem acompanhadas de experimentos empíricos, análise comparativa e estudos de resolução de perguntas científica;\n• Documentação de resultados, elaboração e submissão de artigo científico;\n\nConhecimentos Necessários:\n• Programação na linguagem Python;\n• Experiência sólida com modelos de Aprendizado de Máquina, em especial modelos de Reinforcement Learning\n• Experiência com Testes AB (experimentação)\n• Experiência com projetos de pesquisa e escrita científica\n• Idiomas: Inglês Intermediário a Avançado (leitura e escrita)\n\nConhecimento Desejáveis:\n• Pesquisa prévia em Reinforcement Learning\n• Experiência em projetos na esfera da tecnologia, dentro do ramo de Ciência de Dados, de preferência;\n• Conhecimento em Inferência Causal\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12 meses;\n• Bolsa Auxílio: R$ 9.000,00\n• Atuação: Home Office \n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n( 1075584022)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Analista em Contábil, Finanças, Economia - Finanças\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nValorizado\nCiências Exatas; Pós-graduação - Mestrado, Análises de sistemas; Pós-graduação - Mestrado, Banco e finanças; Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-fisica,-matematica,-ciencia-da-em-__10697864.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
28,"Bolsista Mestre [Desenvolvimento De Software, Engenharia De Comp., Ciências Da Computação] BECOMEX",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Híbrido,"['Projeto de inovação do BECOMEX em parceria com Inova Talentos | IPT.\n\nPré-Requisitos:\n• Título: Mestre\n• Formação: Desenvolvimento de software, Engenharia de Computação, Ciências da Computação, Análise e Desenvolvimento de Sistemas\n\nAtividades: \n• Levantamento de processo de captura de dados\n• Diagnóstico e documento do processo de captura de dados\n• Pesquisar mecanismos de armazenamento de dados\n• Mapeamento e otimização de processos de armazenagem com foco redução de custos\n• Pesquisar e comparar ferramentas de catálogo de dados\n• Participar do ciclo de desenvolvimento de ferramenta de catálogo de dados, desde a fase de requisitos a até a implementação do back-end e front-end.\n\nConhecimentos Necessários:\n• Conhecimentos em Banco da Dados Oracle, DotNet, Python e React\n• Conhecimento adicional preferencial: Bancos de Dados NoSQL\n• Conhecimento em arquitetura e governança de dados\n• Desenvolvimento de software (full-stack)\n• Inglês intermediário\n\nInformações adicionais:\n• Disponibilidade: 40h semanais\n• Duração: 12 meses\n• Bolsa Auxílio: R$ 9.000,00\n• Atuação: Remota \n\n \n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\nFaça parte do Grupo de Vagas no Telegram:\n\nhttps://t.me/+QNFwYQzbCcZhY2Mx\n\n(1134009085)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Assistente em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-desenvolvimento-software,-em-__10696855.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
29,"Bolsista Mestre [Desenvolvimento De Software, Engenharia De Comp., Ciências Da Computação] BECOMEX",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Híbrido,"['Projeto de inovação do BECOMEX em parceria com Inova Talentos | IPT.\n\nPré-Requisitos:\n• Título: Mestre\n• Formação: Desenvolvimento de software, Engenharia de Computação, Ciências da Computação, Análise e Desenvolvimento de Sistemas\n\nAtividades: \n• Levantamento de processo de captura de dados\n• Diagnóstico e documento do processo de captura de dados\n• Pesquisar mecanismos de armazenamento de dados\n• Mapeamento e otimização de processos de armazenagem com foco redução de custos\n• Pesquisar e comparar ferramentas de catálogo de dados\n• Participar do ciclo de desenvolvimento de ferramenta de catálogo de dados, desde a fase de requisitos a até a implementação do back-end e front-end.\n\nConhecimentos Necessários:\n• Conhecimentos em Banco da Dados Oracle, DotNet, Python e React\n• Conhecimento adicional preferencial: Bancos de Dados NoSQL\n• Conhecimento em arquitetura e governança de dados\n• Desenvolvimento de software (full-stack)\n• Inglês intermediário\n\nInformações adicionais:\n• Disponibilidade: 40h semanais\n• Duração: 12 meses\n• Bolsa Auxílio: R$ 9.000,00\n• Atuação: Remota \n\n \n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\nFaça parte do Grupo de Vagas no Telegram:\n\nhttps://t.me/+QNFwYQzbCcZhY2Mx\n\n(1134009085)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Assistente em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-desenvolvimento-software,-em-__10668250.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
30,"Bolsista Doutor [Engenharia De Computação, Ciência Da Comp., Análise E Desenv. De Sistemas] CIELO",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Híbrido,"['Projeto de inovação do BECOMEX em parceria com Inova Talentos | IPT.\n\nPré-Requisitos:\n• Título: Mestre\n• Formação: Desenvolvimento de software, Engenharia de Computação, Ciências da Computação, Análise e Desenvolvimento de Sistemas\n\nAtividades: \n• Levantamento de processo de captura de dados\n• Diagnóstico e documento do processo de captura de dados\n• Pesquisar mecanismos de armazenamento de dados\n• Mapeamento e otimização de processos de armazenagem com foco redução de custos\n• Pesquisar e comparar ferramentas de catálogo de dados\n• Participar do ciclo de desenvolvimento de ferramenta de catálogo de dados, desde a fase de requisitos a até a implementação do back-end e front-end.\n\nConhecimentos Necessários:\n• Conhecimentos em Banco da Dados Oracle, DotNet, Python e React\n• Conhecimento adicional preferencial: Bancos de Dados NoSQL\n• Conhecimento em arquitetura e governança de dados\n• Desenvolvimento de software (full-stack)\n• Inglês intermediário\n\nInformações adicionais:\n• Disponibilidade: 40h semanais\n• Duração: 12 meses\n• Bolsa Auxílio: R$ 9.000,00\n• Atuação: Remota \n\n \n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\nFaça parte do Grupo de Vagas no Telegram:\n\nhttps://t.me/+QNFwYQzbCcZhY2Mx\n\n(1134009085)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Assistente em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-doutor-engenharia-computacao,-ciencia-da-em-__10667640.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
31,"Bolsista Doutor [Engenharia Da Computação, Ciências Da Computação, Sistemas De Informação] CIELO",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Home office,"['Projeto de inovação na empresa CIELO em parceria com Inova Talentos | CNPq.\n\nPré-Requisitos:\n• Título: Doutor\n• Formação: Engenharia da Computação; Ciências da Computação; Sistemas de Informação; Estatística ou Matemática aplicada. Com certificação em Inteligência Artificial; Engenharia de Dados; Gestão Ágil de Projetos ou Agile Coaching e/ou Ciência aplicada a Negócios.\n\nAtividades: \n• Analisar e estruturar a utilização de uma metodologia ágil na atuação das atividades e tarefas realizadas pela segunda linha de responsabilidade, incluindo a utilização da Inteligência Artificial (I.A) para otimizar as tarefas e priorizar os riscos. O projeto prevê imersão em processos da empresa, pesquisa e análise de viabilidade de metodologias ágeis aliadas à Inteligência Artificial.\n\nConhecimentos Necessários:\n• Conhecimento em Metodologias Ágeis - Capacidade de adaptar e aplicar frameworks ágeis em diferentes contextos e o entendimento profundo dos papéis e princípios ágeis.\n• Análise de Experimentos e Design - Habilidade para formular hipóteses, estruturar experimentos e validar resultados, assim como o conhecimento em métricas de performance e avaliação de impacto da I.A nos processos.\n• Pensamento Sistêmico e Solução de Problemas - Capacidade de enxergar interdependência entre os times, processos e tecnologias.\n• Conhecimento em arquitetura e Implementação de Soluções Inteligentes - Criar modelos para prever prazos, gargalos e produtividade.\n• Domínio em linguagens e ferramentas de I.A (Ex. Python)\n• Conhecimento no Software Jira da Atlassian\n• Idiomas: Inglês intermediário\n\nConhecimento Desejáveis:\n• Fundamentos e aplicações de Inteligência Artificial \n • Conhecimento pratico em técnicas de I.A e capacidade de identificar onde e como a I.A pode apoiar ou automatizar praticas ágeis.\n• Criar dashboards preditivos com as ferramentas de I.A.\n\nInformações adicionais:\n• Disponibilidade: 40h semanais\n• Duração: 12 meses\n• Bolsa Auxílio: R$ 7.000,00\n• Atuação: Remota\n\n\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\nFaça parte do Grupo de Vagas no Telegram:\n\nhttps://t.me/+QNFwYQzbCcZhY2Mx\n\n(422950/2025-4)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Assistente em Informática, TI, Telecomunicações - Análise de Sistema\nExigências\nEscolaridade Mínima: Pós-graduação - Doutorado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-doutor-engenharia-da-computacao,-ciencias-em-__10667591.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
32,"Bolsista Mestre[ Engenharia, Matemática, Ciências Da Computação, Estatística] ICT ITAÚ",INSTITUTO EUVALDO LODI,Todo Brasil,"R$ 9.000,00 (Bruto mensal)",Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Mestre;\n• Cursos: Engenharia da Computação, Matemática, Ciências da Computação, Estatística;\n\n\nAtividades:\n• Aplicar conhecimentos em desenvolvimento de um agentes de IA, marketplace de agentes e multi agentes, modelagem de esteira multi agente e tools para agentes de IA no contexto de criar um ambiente único para uso e que possam ser feitas em uma única ferramenta a composição e seleção de agentes de IA.\n\n\nConhecimentos Necessários:\n• Conhecimento avançado de Python, para ambos os casos;\n• Engenharia para IA.\n\nConhecimentos Desejáveis:\n• Desenvolvimento de front end, noção em LLMs.\n\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12meses;\n• Bolsa Auxílio: R$ 9.000,00;\n• Atuação: Home Office;\n• Local de empresa: Bairro do Jabaquara, São Paulo.\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n\n(1128497824)\nNúmero de vagas: 2\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Trainee em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-engenharia,-matematica,-ciencias-em-__10612053.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
33,"Bolsista Mestre[ Engenharia, Matemática, Ciências Da Computação, Estatística] ICT ITAÚ",INSTITUTO EUVALDO LODI,Todo Brasil,"R$ 9.000,00 (Bruto mensal)",Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Mestre;\n• Cursos: Engenharia da Computação, Matemática, Ciências da Computação, Estatística;\n\n\nAtividades:\n• Aplicar conhecimentos em desenvolvimento de um agentes de IA, marketplace de agentes e multi agentes, modelagem de esteira multi agente e tools para agentes de IA no contexto de criar um ambiente único para uso e que possam ser feitas em uma única ferramenta a composição e seleção de agentes de IA.\n\n\nConhecimentos Necessários:\n• Conhecimento avançado de Python, para ambos os casos;\n• Engenharia para IA.\n\nConhecimentos Desejáveis:\n• Desenvolvimento de front end, noção em LLMs.\n\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12meses;\n• Bolsa Auxílio: R$ 9.000,00;\n• Atuação: Home Office;\n• Local de empresa: Bairro do Jabaquara, São Paulo.\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n\n(1128497824)\nNúmero de vagas: 2\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Trainee em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-engenharia,-matematica,-ciencias-em-__10611804.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
34,"Bolsista Mestre[ Engenharia, Matemática, Ciências Da Computação, Estatística] ICT ITAÚ",INSTITUTO EUVALDO LODI,Todo Brasil,"R$ 9.000,00 (Bruto mensal)",Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Mestre;\n• Cursos: Engenharia da Computação, Matemática, Ciências da Computação, Estatística;\n\n\nAtividades:\n• Pesquisa relacionada a modelos de Liveness da Biometria Facial e quais são os mais indicados para um alto nível de segurança que um banco requer;\n• Estabelecer quais são Modelos de Liceness que precisam ser criados;\n• Direcionar como deverá se construído cada Modelo de Liveness estabelecido.\n\n\nConhecimentos Necessários:\n• Modelagem de agente preditivos; \n• Redes Neurais;\n• Visão Computacional; \n• CNN;\n• Python; \n• TensorFlow ou Torch; \n• Ferramentas de Visualização de Dados;\n• Ferramentas de Análise Estatísticas.\n\nConhecimentos Desejáveis:\n• Biometria Facial; \n• Modelos com arquiteturas Transformer; \n• Modelagem em sistemas embarcados;\n• Experiência com computação Gráfica e CUDA.\n\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12meses;\n• Bolsa Auxílio: R$ 9.000,00;\n• Atuação: Home Office;\n• Local de empresa: Bairro do Jabaquara, São Paulo.\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n\n(1112107382)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Trainee em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-engenharia,-matematica,-ciencias-em-__10610774.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
35,"Bolsista Graduado[ Engenharia, Matemática, Ciências Da Computação, Estatística] ICT ITAÚ",INSTITUTO EUVALDO LODI,Todo Brasil,"R$ 7.000,00 (Bruto mensal)",Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Graduação;\n• Cursos: Engenharia da Computação, Matemática, Ciências da Computação, Estatística;\n• Idiomas: Inglês Intermediário/ Avançado.\n\nAtividades:\n• Apoiar o Mestre na Pesquisa relacionada aos tipos de modelos de Liveness da Biometria Facial e quais são os mais indicados para um alto nível de segurança que um banco requer;\n• Desenvolvimento de Software;\n• Desenvolvimento de Modelos.\n\n\nConhecimentos Necessários:\n• Modelagem de agente preditivos; \n• Redes Neurais;\n• Visão Computacional; \n• CNN;\n• Python; \n• TensorFlow ou Torch; \n• Ferramentas de Visualização de Dados;\n• Ferramentas de Análise Estatísticas.\n\nConhecimentos Desejáveis:\n• Biometria Facial; \n• Modelos com arquiteturas Transformer; \n• Modelagem em sistemas embarcados;\n• Experiência com computação Gráfica e CUDA.\n\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12meses;\n• Bolsa Auxílio: R$ 7.000,00;\n• Atuação: Home Office;\n• Local de empresa: Bairro do Jabaquara, São Paulo.\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n\n(1112107382)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Trainee em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Ensino Superior\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-graduado-engenharia,-matematica,-ciencias-em-__10610742.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
36,"Bolsista Especialista Graduado [Ciência Da Computação; Engenharia, Áreas Correlatas] Bradesco",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Híbrido,"['Projeto de inovação do Bradesco em parceria Inova Talentos | IPT.\n\nPré-Requisitos:\n• Perfil do bolsista: Graduação;\n• Cursos: Ciência da Computação; Engenharia da Computação; Analista de Sistemas;\n\nAtividades:\n• Entrega de projetos estruturados para atendimento às áreas de negócio de finanças.\n\nConhecimentos Necessários:\n• Conhecimento e experiências com o uso em ferramentas de dados com linguagens de programação como SQL e Python.\n\nConhecimentos Desejáveis:\n• Habilidade de desenho de arquitetura de sistemas estruturados.\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12 meses;\n• Bolsa Auxílio: R$ 7.000,00;\n• Atuação: Hibrida ( 4x Remota x 1 Presencial);\n• Local de atuação: Osasco, SP.\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n\n(1085584017)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Ensino Superior\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-especialista-graduado-ciencia-da-em-__10604247.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
37,"Bolsista Doutor [Física, Matemática, Ciência Da Computação, Engenharia Da Computação] ICT ITAÚ",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Doutor - TECH 4 \n• Formação: Doutorado\n• Cursos: Ciência da Computação, Estatística, Matemática Aplicada, Engenharia em geral ou áreas correlatas.\n\nAtividades:\n• Revisão bibliográfica\n• Estruturação de um desenho de pesquisa;\n• Programação e modelagem acompanhadas de experimentos empíricos, análise comparativa e estudos de resolução de perguntas científica;\n• Documentação de resultados, elaboração e submissão de artigo científico;\n\nConhecimentos Necessários:\n• Programação na linguagem Python;\n• Experiência sólida com modelos de Aprendizado de Máquina, em especial modelos de Reinforcement Learning\n• Experiência com Testes AB (experimentação)\n• Experiência com projetos de pesquisa e escrita científica\n• Idiomas: Inglês Intermediário a Avançado (leitura e escrita)\n\nConhecimento Desejáveis:\n• Pesquisa prévia em Reinforcement Learning\n• Experiência em projetos na esfera da tecnologia, dentro do ramo de Ciência de Dados, de preferência;\n• Conhecimento em Inferência Causal\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12 meses;\n• Bolsa Auxílio: R$ 11.000,00\n• Atuação: Home Office \n• Local de empresa: Bairro do Jabaquara, São Paulo.\n\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n( 1075584022)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Trainee em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Doutorado\nValorizado\nExperiência desejada: Entre 5 e 10 anos\nEngenharia de computação; Pós-graduação - Doutorado, Ciências da computação; Pós-graduação - Doutorado, Matemática; Pós-graduação - Doutorado, Física; Pós-graduação - Doutorado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-doutor-fisica,-matematica,-ciencia-da-em-__10596888.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
